month,variant,n_men,n_women,ratio,obs_25,exp_25,pct_25,pct_lo_25,pct_hi_25,obs_100,exp_100,pct_100,pct_lo_100,pct_hi_100,obs_1000,exp_1000,pct_1000,pct_lo_1000,pct_hi_1000,obs_10,exp_10,pct_10,pct_lo_10,pct_hi_10,date
2015-07,all_active,112657,11812,9.537504232983407,235.48000000000002,112.2800000000002,47.681331747919224,32.7649906573806,63.22999830134199,259.05999999999995,146.11000000000013,56.400061761754095,47.335366324403665,66.15523430865443,346.84699999999975,226.18650000000002,65.2121828933219,61.78495128976186,68.71934887717057,,,,,,2015-07-01
2015-07,elite2000,30267,1485,20.381818181818183,235.48000000000002,160.48000000000002,68.15016137251571,50.65398335315109,85.54484457278733,259.05999999999995,209.7900000000002,80.98123986721232,70.69269667258547,91.02148151007498,,,,,,223.4000000000001,136.39999999999986,61.05640107430609,35.98478066248884,84.87242614145025,2015-07-01
2015-08,all_active,114104,12080,9.44569536423841,236.15999999999985,112.16000000000008,47.49322493224938,31.520579268292536,63.093241869918735,259.94000000000005,145.55500000000006,55.99561437254752,46.37185504347154,65.9076132953759,345.6550000000002,225.3420000000001,65.19274999638367,61.70884263210416,68.6764982424671,,,,,,2015-08-01
2015-08,elite2000,30351,1496,20.288101604278076,236.15999999999985,160.67999999999984,68.03861788617883,50.997628726287324,85.53692411924125,259.94000000000005,210.18499999999995,80.85904439486032,70.59263676232975,91.06332230514734,,,,,,227.39999999999964,137.0,60.246262093227884,36.89094107299922,83.68513632365875,2015-08-01
2015-09,all_active,115774,12331,9.388857351390804,247.8399999999997,112.8599999999999,45.5374435119432,31.035345384118855,60.104502905100155,265.99000000000024,146.19499999999994,54.9625925786683,45.360727846911445,64.19837211925264,347.5189999999998,224.23199999999997,64.52366633191282,60.98418359859471,67.96120499886338,,,,,,2015-09-01
2015-09,elite2000,30374,1473,20.62050237610319,247.8399999999997,163.4000000000001,65.92963202065862,49.3697546804391,82.42616204002583,265.99000000000024,212.2449999999999,79.79435317117174,69.39715778788677,89.72903116658516,,,,,,244.5,139.89999999999986,57.21881390593041,34.60020449897765,78.24233128834346,2015-09-01
2015-10,all_active,117020,12442,9.405240315061887,248.5600000000004,111.59999999999991,44.89861602832303,29.819359510782196,60.026150627614896,266.3599999999997,145.5150000000001,54.63095059318226,45.29199204084715,64.11257320919064,347.4459999999999,224.5424999999998,64.6265894556276,61.25871358426931,67.893579146112,,,,,,2015-10-01
2015-10,elite2000,30380,1485,20.457912457912457,248.5600000000004,162.44000000000005,65.35242999678138,49.11369488252323,80.96355004827805,266.3599999999997,211.57999999999993,79.43384892626527,69.5786717224809,88.68955548881226,,,,,,244.0,137.0999999999999,56.1885245901639,34.38422131147545,76.2725409836067,2015-10-01
2015-11,all_active,118076,12598,9.372598825210352,245.44000000000005,112.31999999999971,45.762711864406654,31.305410691003782,60.87108865710563,265.40999999999985,146.45499999999993,55.18066387852757,45.755529181266766,64.86680984137764,348.08899999999994,223.82850000000008,64.30208940816863,60.953463051116245,67.80337068967997,,,,,,2015-11-01
2015-11,elite2000,30464,1491,20.431924882629108,245.44000000000005,162.03999999999996,66.02020860495433,49.03846153846158,82.09012385919165,265.40999999999985,211.79999999999995,79.80106250706457,69.95572887231083,89.65006970347771,,,,,,236.80000000000018,132.19999999999982,55.82770270270259,33.65603885135125,77.28040540540535,2015-11-01
2015-12,all_active,119558,12852,9.302676626206038,245.03999999999996,110.68000000000029,45.16813581456101,30.0195886385896,59.631080639895494,264.9000000000001,144.57999999999993,54.57908644771607,45.04596073990181,63.915251038127565,347.8180000000002,222.95949999999993,64.10234662955908,60.67162999039725,67.58506604028537,,,,,,2015-12-01
2015-12,elite2000,30562,1481,20.63605671843349,245.03999999999996,161.55999999999995,65.93209271955598,48.64471106758092,81.76705843943834,264.9000000000001,211.36000000000013,79.7885994714987,69.63372970932427,89.30955077387688,,,,,,234.0,132.0,56.41025641025641,34.40064102564103,76.6677350427349,2015-12-01
2016-01,all_active,121541,13070,9.299234889058914,247.4000000000001,110.72000000000025,44.75343573160882,30.201697655618336,58.965642683912534,264.6199999999999,143.77999999999975,54.33451742120769,45.389142921925846,63.62434812183515,347.88599999999997,222.88049999999998,64.06710819061416,60.631320317575266,67.47332459483854,,,,,,2016-01-01
2016-01,elite2000,30619,1489,20.56346541302888,247.4000000000001,161.8599999999999,65.42441390460786,48.97291835084893,81.98908649959583,264.6199999999999,209.66499999999996,79.23248431713402,69.50334441841136,89.26394452422346,,,,,,236.5,132.4000000000001,55.98308668076114,34.164904862579164,77.04016913319232,2016-01-01
2016-02,all_active,123260,13317,9.255838402042501,246.72000000000025,110.36000000000013,44.73086900129702,30.446660181582462,59.03331712062264,265.1500000000001,144.01499999999987,54.31453894022245,45.12530643032232,63.82434471054101,347.8919999999998,222.08399999999983,63.83705287847952,60.48945506076598,67.32693623308383,,,,,,2016-02-01
2016-02,elite2000,30704,1493,20.565304755525787,246.72000000000025,161.43999999999983,65.4345006485083,48.68555447470808,81.8097438391699,265.1500000000001,210.87999999999988,79.53234018480099,69.77475014142944,89.4366396379407,,,,,,235.69999999999982,131.19999999999982,55.663979635129365,34.534365719134556,76.49660585490044,2016-02-01
2016-03,all_active,124873,13499,9.250537076820505,244.48000000000002,109.98000000000002,44.98527486910995,30.054401178010476,59.801210732984224,262.6399999999999,143.36499999999978,54.58612549497405,45.30878769418217,63.76818077977463,347.0250000000001,221.82100000000014,63.920754988833686,60.45817304228801,67.43816727901448,,,,,,2016-03-01
2016-03,elite2000,30682,1494,20.536813922356092,244.48000000000002,161.20000000000005,65.93586387434557,49.214659685863936,82.33025196335068,262.6399999999999,210.4300000000003,80.12107828205924,69.90547898263783,89.91518809016152,,,,,,233.79999999999973,132.5,56.67236954662111,34.6407185628743,78.22925577416609,2016-03-01
2016-04,all_active,127167,13756,9.244475138121548,244.6800000000003,109.40000000000009,44.71145986594735,30.04618276933133,59.948095471636286,263.74000000000024,143.385,54.366042314400495,45.2261697125956,63.84374763024172,347.6880000000001,222.00549999999998,63.85193046639513,60.43428303536496,67.38261746163224,,,,,,2016-04-01
2016-04,elite2000,30726,1486,20.676985195154778,244.6800000000003,161.44000000000005,65.98005558280197,48.7489782573157,81.9695111982997,263.74000000000024,210.7099999999998,79.89307651474923,69.82985136877208,89.41865094411152,,,,,,232.80000000000018,131.04999999999995,56.292955326460415,34.106529209622,77.44952749140896,2016-04-01
2016-05,all_active,128025,13818,9.265089014329137,248.7199999999998,110.66000000000008,44.49179800578971,30.250482470247608,58.99002894821482,267.6500000000001,144.56499999999983,54.01270315710808,44.800952736783046,63.180272744255504,348.2170000000001,222.6529999999998,63.94087594804382,60.55034647935044,67.42928978194621,,,,,,2016-05-01
2016-05,elite2000,30599,1473,20.77325186693822,248.7199999999998,161.98000000000002,65.12544226439375,49.35590221936309,82.26157928594407,267.6500000000001,211.51999999999998,79.02858210349333,69.57509807584522,89.05324117317403,,,,,,235.19999999999982,132.60000000000014,56.37755102040827,35.075467687074855,77.93473639455796,2016-05-01
2016-06,all_active,129325,14035,9.214463840399002,249.08000000000038,110.41999999999985,44.33113859001111,29.853460735506488,58.663883089770216,268.0799999999999,143.67000000000007,53.592211280214904,44.54640405849004,62.79272978215458,347.38700000000017,221.99099999999999,63.90308215333328,60.59794264034063,67.44018198723619,,,,,,2016-06-01
2016-06,elite2000,30547,1483,20.598111935266353,249.08000000000038,162.16000000000008,65.10358117873768,49.30142925967561,81.11570579733406,268.0799999999999,211.17000000000007,78.77126230975833,69.00514771709948,88.11940465532679,,,,,,238.80000000000018,132.4000000000001,55.44388609715243,34.21273031825804,76.71796482412047,2016-06-01
2016-07,all_active,130150,14084,9.240982675376314,251.32000000000016,112.25999999999999,44.66815215661305,30.144039471590066,58.826993474454724,268.6500000000001,144.98000000000002,53.96612693095104,44.489019169923665,62.852317141261814,347.25300000000016,222.86699999999996,64.18000708417202,60.78754539197643,67.56718444477087,,,,,,2016-07-01
2016-07,elite2000,30394,1488,20.426075268817204,251.32000000000016,162.20000000000027,64.53923285054917,48.20905618335181,81.49092790068441,268.6500000000001,210.49500000000012,78.35287548855389,68.88488739996272,88.43104410943593,,,,,,239.4000000000001,133.4000000000001,55.72263993316626,33.83145363408519,77.27861319966581,2016-07-01
2016-08,all_active,131494,14342,9.168456282247943,251.96000000000004,110.57999999999993,43.887918717256674,29.401095411970118,57.50277821876493,269.87999999999965,143.22000000000003,53.068030235660366,43.85384244849556,62.03877649325628,349.53999999999996,222.2974999999999,63.59715626251643,60.024038736625215,67.05328431653035,,,,,,2016-08-01
2016-08,elite2000,30331,1486,20.411170928667563,251.96000000000004,160.89999999999964,63.85934275281775,48.579139545959706,80.86997936180336,269.87999999999965,210.03999999999996,77.82718245146,68.29313028012457,87.87664888098419,,,,,,238.20000000000027,133.04999999999995,55.85642317380345,34.17296389588581,78.38056255247693,2016-08-01
2016-09,all_active,132451,14540,9.109422283356258,251.32000000000016,109.48000000000002,43.56199267865667,29.681282826675105,57.18645551488131,270.5999999999999,142.45499999999993,52.64412416851441,43.72468588322254,61.51164079822629,349.6120000000001,221.7745,63.434464492065466,59.960906662242664,66.8430717481094,,,,,,2016-09-01
