group,kind,odds_ratio,lo,hi
<13,age,1.370661713254284,1.249591051963831,1.5034626962385993
13-17,age,1.1945995609590376,1.1519630091898334,1.238814180367798
18-24,age,0.8582367787535167,0.8263572367248719,0.8913461825838007
25-39,age,0.9572115459670233,0.9189147015407294,0.9971044561549733
40-59,age,1.0113084402871042,0.9578119012670223,1.0677929142903926
60+,age,0.9895910119029088,0.9118260081159663,1.0739881974439982
1400+,rating_floor_18_24,0.8582367787535167,0.8263572367248719,0.8913461825838007
1600+,rating_floor_18_24,0.8708185384585053,0.8337666665555605,0.9095169636077962
1800+,rating_floor_18_24,0.9101054607706844,0.8596475326226857,0.9635250707898813
2000+,rating_floor_18_24,1.0476735457637505,0.9555575375950375,1.1486695623328937
2200+,rating_floor_18_24,1.2758888973080893,1.0509099623659763,1.5490313505155862
