fed,pct,lo,hi,n_men,n_women,ratio,k_over_nf,obs_gap
RUS,44.47642290035372,32.708234012855655,56.222802718015515,8358,2138,3.9092609915809167,0.04677268475210477,375.7223073593068
GER,56.07034251681339,47.44488385370304,64.6546057289157,15759,1381,11.411296162201303,0.07241129616220131,372.4314599567092
POL,68.59239583011168,55.83163949818319,81.08682382655267,7129,1065,6.693896713615024,0.09389671361502347,380.7383549783549
ESP,69.29277692702547,60.18575176455536,78.26205606220303,20812,1190,17.4890756302521,0.08403361344537816,412.9506565656561
ITA,71.98622831795507,62.60545498849832,81.06598212467311,8466,495,17.1030303030303,0.20202020202020202,457.432011904762
FRA,72.3912165873447,61.36477947626311,83.11164416589747,19596,1708,11.473067915690866,0.0585480093676815,380.8672077922083
ENG,76.67477075680526,66.3900191642694,86.74508456254587,3176,245,12.963265306122448,0.40816326530612246,493.14732106782094
IND,77.4831599897854,62.12256752331964,92.92184314365676,22402,3508,6.385974914481186,0.028506271379703536,371.86179256854257
USA,79.49287607203095,68.09618408600767,90.43525688480905,6253,572,10.931818181818182,0.17482517482517482,468.1695018037519
