fed,pct,lo,hi,n_men,n_women,ratio
RUS,47.7236521567236,38.505126542904975,56.77981301999452,17165,2287,7.505465675557499
POL,64.22670022399251,53.03777137272192,75.20344128713954,4470,587,7.614991482112436
GER,72.46385381304037,63.560233286157974,81.34119212218872,21860,989,22.103134479271993
FRA,82.30034348930867,72.1343416949675,92.24003701652859,10239,498,20.56024096385542
ESP,84.78140718688,75.22075249989545,94.08976749694567,14721,516,28.52906976744186
USA,86.5096330243634,75.26793606913839,97.658770977171,6506,351,18.535612535612536
IND,88.5376179725566,75.38660681513038,101.50300933724183,5076,484,10.487603305785123
ITA,90.22814776767586,81.03356432996621,98.99801115748618,5470,174,31.436781609195403
ENG,97.78167003837271,87.27416068988208,107.97707075863137,2983,139,21.46043165467626
