fideid,sex,peak_rating,age_first_at_peak,age_last_at_peak,in_top25,in_top100
4151348,M,2662,25,25,0,1
4152956,M,2751,32,32,1,1
4157800,M,2662,33,33,0,1
4158814,M,2743,26,29,1,1
4160258,M,2679,31,32,0,1
4162340,F,2376,33,33,0,1
4162722,M,2732,31,31,1,1
4164083,F,2391,29,29,0,1
4166299,F,2418,34,35,0,1
4167570,F,2548,26,26,1,1
4168003,M,2738,26,26,1,1
4168119,M,2795,33,33,1,1
4170350,M,2661,25,25,0,1
4173708,M,2676,28,28,0,1
4180917,F,2398,25,25,0,1
4181751,F,2479,24,24,1,1
4182146,F,2427,22,22,0,1
4189302,M,2712,29,30,0,1
4194985,M,2660,23,23,0,1
4195752,F,2505,26,26,1,1
4196872,F,2434,23,23,0,1
4198026,F,2505,29,29,1,1
4199758,M,2657,20,20,0,1
4201345,M,2652,41,41,0,1
4262875,M,2656,25,25,0,1
4264312,F,2479,25,26,1,1
4500512,F,2421,25,25,0,1
4623614,F,2366,46,46,0,1
4641833,F,2513,33,33,1,1
4650891,M,2736,33,33,1,1
4657101,M,2651,25,25,0,1
4671660,F,2397,57,57,0,1
4675789,M,2664,29,29,0,1
4690745,F,2366,32,32,0,1
4900758,F,2448,28,28,0,1
4900782,F,2490,16,16,1,1
4900839,F,2412,30,30,0,1
4901878,F,2386,17,17,0,1
4902831,F,2350,20,20,0,1
5000017,M,2816,46,46,1,1
5002150,M,2676,33,33,0,1
5004098,F,2393,37,38,0,1
5004985,M,2688,36,36,0,1
5007003,M,2770,30,30,1,1
5007844,F,2431,30,30,0,1
5008123,F,2589,28,28,1,1
5010608,M,2654,27,27,0,1
5012600,F,2425,29,29,0,1
5013623,F,2361,33,33,0,1
5015197,F,2543,25,25,1,1
5016193,F,2428,29,29,0,1
5016690,M,2670,23,24,0,1
5018471,M,2701,27,27,0,1
5019516,F,2429,27,27,0,1
5021596,M,2673,25,25,0,1
5029295,F,2444,21,21,0,1
5029465,M,2747,30,30,1,1
5050847,F,2380,26,29,0,1
5058422,M,2695,26,26,0,1
5061245,M,2652,24,24,0,1
5072786,M,2749,26,26,1,1
5074452,M,2669,26,26,0,1
5084423,M,2641,22,23,0,1
5091756,F,2506,23,23,1,1
5202213,M,2822,24,24,1,1
6302599,F,2364,26,26,0,1
6302718,M,2665,31,32,0,1
6302920,F,2370,28,28,0,1
7101570,F,2417,18,18,0,1
7101937,F,2432,24,24,0,1
7111541,F,2352,18,18,0,1
8600201,F,2406,19,19,0,1
8600406,F,2389,49,50,0,1
8600546,F,2424,41,41,0,1
8600643,F,2374,37,37,0,1
8601160,M,2713,32,32,0,1
8601283,F,2533,30,30,1,1
8601429,M,2737,29,29,1,1
8601445,M,2731,34,34,1,1
8602425,F,2381,34,34,0,1
8602689,F,2457,29,29,0,1
8602727,F,2491,28,28,1,1
8602883,M,2763,31,32,1,1
8602972,F,2439,24,28,0,1
8602980,F,2683,21,21,1,1
8603006,F,2604,26,26,1,1
8603154,M,2666,31,31,0,1
8603162,F,2479,27,28,1,1
8603219,F,2378,26,26,0,1
8603332,M,2647,30,30,0,1
8603405,M,2763,25,25,1,1
8603642,F,2561,33,34,1,1
8603677,M,2816,26,26,1,1
8603820,M,2765,24,24,1,1
8604002,F,2447,21,21,0,1
8604070,F,2426,24,26,0,1
8604436,M,2758,27,27,1,1
8605114,F,2569,28,29,1,1
8606161,F,2394,27,27,0,1
8608059,F,2579,23,24,1,1
8608466,F,2450,20,20,0,1
8610835,F,2381,24,24,0,1
8614300,F,2454,20,21,1,1
8614750,F,2387,18,19,0,1
8615250,F,2366,24,24,0,1
8618020,F,2452,15,15,1,1
8620946,F,2363,15,15,0,1
9301348,M,2690,28,29,0,1
