label,pct,lo,hi,ratio,n_women
Q4 spec as published,43.54171258272379,29.14423740304215,57.24496661699621,8.255654174884944,30420
+ deeper cut (top-100),49.415007464836805,40.70423535735111,58.02590687182116,8.255654174884944,30420
+ inactive players included,48.039399563031495,39.19130373265895,56.72012293032185,7.936615839745708,63549
+ club-strength reference pool (1800+),63.79692147726964,54.56062116665352,72.73000901576745,13.965995329830706,13704
"+ national arena, not the world (Germany)",72.46385381304037,63.560233286157974,81.34119212218872,22.103134479271993,989
+ a smaller national arena (England),97.78167003837271,87.27416068988208,107.97707075863137,21.46043165467626,139
