label,pct,lo,hi,n_men,n_women,ratio,delta
"Q4 baseline: world pool, active, empirical, top-25",43.54171258272379,29.14423740304215,57.24496661699621,251137,30420,8.255654174884944,0.0
Distribution: fitted normal instead of empirical,46.604947245777055,29.93156796904356,63.41147198217102,251137,30420,8.255654174884944,3.063234663053265
Activity: include inactive players,44.78143100020144,29.90512347635667,58.806299167218945,504364,63549,7.936615839745708,1.239718417477647
"Arena: Germany only, not the world",54.87443318377512,38.06933202546684,71.67130563468065,15759,1381,11.411296162201303,11.332720601051328
Depth: top-100 instead of top-25,49.415007464836805,40.70423535735111,58.02590687182116,251137,30420,8.255654174884944,5.873294882113015
Depth: top-1 instead of top-25,25.175860792299066,-13.365420214735341,57.548130322102686,251137,30420,8.255654174884944,-18.365851790424724
Reference pool: club strength only (2000+),64.15996313606715,48.45560429520657,79.42877361595676,28393,1484,19.132749326145554,20.61825055334336
