N,obs_gap,exp_gap,pct,pct_lo,pct_hi
10,231.0333333333333,86.28333333333308,37.34670321742883,16.297612177175,58.015528062328656
11,233.93181818181847,88.75,37.93840474108613,17.856761183050732,57.53813271155131
12,236.4930555555561,91.08333333333326,38.51416825723083,19.171780942592843,57.09716234433585
13,238.07692307692332,93.16025641025658,39.13031771674747,20.398222940226145,57.07637563029313
14,239.54166666666742,95.12840136054456,39.71267407641437,21.683087741967647,57.225098597449154
15,240.78333333333376,96.89166666666688,40.24018827438224,22.666701275928354,57.37350314944257
16,242.14062499999955,98.59375,40.71755823707822,23.806650749607556,57.416919403755585
17,243.3235294117644,100.1510695187169,41.15963210004084,24.620603166928802,57.41166042145156
18,244.64814814814736,101.62996031746093,41.541275127870016,25.420057149345133,57.4695802740146
19,245.94736842105203,103.0184837092736,41.88639397552328,26.190887853497706,57.426617447749685
20,247.14999999999964,104.41723484848558,42.248527148891654,26.771486614067374,57.50455189156428
21,248.37698412698364,105.69926303854913,42.55598134829997,27.312632806633612,57.5310313897254
22,249.49621212121156,106.94696969697043,42.865167686398735,27.80741011156066,57.55420013056646
23,250.48188405797055,108.13431677018662,43.17051397823263,28.29732676014462,57.71802178409744
24,251.9236111111113,109.22608375420941,43.35682680653346,28.64845986634591,57.65053364641276
25,253.1833333333334,110.15045454545475,43.50620283541099,28.9856211854765,57.636010556489715
26,254.29166666666652,111.06730769230762,43.67713230567564,29.39207073444305,57.70077347416343
27,255.3919753086425,111.9907407407411,43.85053234558358,29.646089888454906,57.659129636119644
28,256.33928571428623,112.76551870748335,43.990728301073176,29.90216616078684,57.654214559386986
30,257.9083333333333,114.24027777777769,44.29491529074711,30.356742813445862,57.61467406439799
31,258.6639784946242,114.81671554252262,44.388366795691596,30.61809546574083,57.635113698955266
32,259.3671875,115.4690814393939,44.51954102305015,30.863858622978103,57.564296843552256
34,260.9534313725494,116.63505220269963,44.695734250064696,31.146155218889817,57.514722595309365
35,261.6714285714288,117.13253968254048,44.76321328698928,31.34959197414849,57.47725866515789
37,262.9617117117118,117.96607971608023,44.86055363276913,31.759394325002066,57.37685501941846
38,263.5855263157896,118.44103535353543,44.93457475037408,31.956377434288065,57.32994841175311
40,264.6208333333334,119.12287608225142,45.01643902398138,32.334402343629506,57.190514157621195
42,265.3293650793653,119.76074091252781,45.13663268168791,32.687614439760765,57.208454850465614
44,266.11553030303094,120.43879542175023,45.25808594658276,33.024932820774936,57.17900632699693
46,266.78623188405845,120.96508563899943,45.34157733131039,33.41517848875304,57.226447380930026
48,267.2621527777778,121.57812500000023,45.49021391034351,33.724248037159434,57.25339582174568
50,267.61500000000024,122.21496753246743,45.668205269684925,34.14834013315024,57.27301925385019
52,267.8958333333335,122.77905219780223,45.830892802663534,34.49435761376799,57.29916762605916
54,268.11728395061664,123.38403679653743,46.01868069768415,34.854159596590925,57.32670945090378
57,268.3347953216371,124.330923267765,46.33425311791445,35.41071464245363,57.456846838260276
59,268.5663841807909,124.97040929879881,46.53240936314369,35.695347501377505,57.51343335725014
62,269.02150537634407,125.92204301075253,46.807426355969405,36.190949910535544,57.49035019099765
65,269.37692307692305,126.84447052947121,47.08809837183032,36.655174090816175,57.596551065229015
68,269.69362745098033,127.65013846447664,47.3315367778493,37.114286835534536,57.67164395449217
71,270.21696847753174,128.57987927565364,47.58393967636601,37.47526124563088,57.76515882026296
74,270.7779922779928,129.33157833157952,47.76295785471441,37.82498095028876,57.85204966146906
77,271.32884972170723,130.11777328011135,47.9557457356889,38.105487035280056,57.908571134043555
80,271.8696428571425,130.9727306547618,48.17482719966023,38.44789273020128,57.950350715971766
84,272.51176303854845,131.89542405346037,48.39990119428458,38.87259646263391,58.07887373965619
88,273.1163419913414,132.84771620424908,48.641438017085314,39.29251887353872,58.16428674953652
92,273.64026915113845,133.72521292113765,48.86898165097106,39.735362371561045,58.25162310333424
96,274.20473710317447,134.61990252224746,49.0946669792923,40.11575489873676,58.27719157587826
100,274.77071428571435,135.5379319985584,49.32764845442089,40.45843939382131,58.36327646104331
104,275.3740842490838,136.4729947136209,49.55912793528425,40.762730408504176,58.42440623560662
109,276.115334207077,137.58676840488874,49.82945579607085,41.119064794741575,58.55291281207112
114,276.8829365079373,138.66682647274934,50.08139115455178,41.52771885686024,58.6327277781141
119,277.6413565426187,139.72731668424944,50.32655020283367,41.86200340516438,58.77199876914284
124,278.3794250104738,140.82931969464425,50.5889828924482,42.225430412803206,58.899967893169006
130,279.1854562104563,142.06711052836,50.88628629038132,42.717099070304585,59.056635563645884
136,280.1096097529921,143.29993620554524,51.15852195571256,43.18494602775073,59.16484608265784
142,281.0687534296694,144.5665683494924,51.434592634526574,43.577379120593044,59.256863469576246
148,282.0006508131505,145.74880464880857,51.683854001237606,43.935218597524376,59.35799892973203
154,282.81231376848245,146.87836235734198,51.934924756345815,44.287378346626184,59.49801103599024
161,283.72678873921086,148.08096167979875,52.19139240881066,44.68495413022621,59.54420933407177
168,284.64243841475945,149.3413426355421,52.46629542216512,45.08833250746265,59.60371239599206
176,285.72829348681626,150.6447987381964,52.723094692457295,45.523158732088554,59.717205303166466
184,286.7813205815919,151.90675505050604,52.96954304500707,45.886632544813054,59.810271988795485
192,287.7838639369893,153.0891827501232,53.19588828081143,46.20665862154772,59.91345333446419
200,288.8087593795094,154.28355934343608,53.42066482848591,46.559122668917055,59.985296961383696
209,290.0263817256641,155.57092861285787,53.64026806361787,46.91614389275222,60.12711723508699
219,291.5732952486378,156.88691283349021,53.807023959346346,47.291559051423135,60.198985632466275
228,292.85366224905647,158.04658299789958,53.967767308810146,47.55129592804865,60.26266792776463
238,294.14062321898564,159.28087462257804,54.15126713184208,47.84739244823687,60.33478441182808
249,295.4741030500063,160.62033110798393,54.360206004517565,48.14264505056193,60.4344051499188
260,296.76910894660887,161.94704004329128,54.57004626193316,48.5099233591162,60.53665136875745
272,298.18626018589293,163.33654036425173,54.77668228657677,48.837769241527944,60.57959622347136
284,299.4730443265653,164.67813852813993,54.989302592644684,49.174029418089624,60.6919882265708
296,300.6728983853982,165.92211082836434,55.18359377228864,49.46860271070281,60.81432849134131
309,301.9117261379397,167.25423257073908,55.3983890292233,49.80400162218252,60.91119153411293
323,303.228503745996,168.67586546580696,55.626652304131966,50.11416476042658,61.03597222711758
338,304.6235652168348,170.1634241826555,55.86023000601779,50.42425075974633,61.160707442024034
353,305.97147793188833,171.64835812598108,56.09946367752335,50.74099365511915,61.327439238588546
368,307.3365445016939,173.0797360248489,56.3160285105291,51.034989255655226,61.46847433999637
385,308.86423820768005,174.65380835254246,56.54711253269321,51.32614809844075,61.613296815459876
402,310.3268616333917,176.15755538684925,56.76516510999138,51.62181837512153,61.76914667865816
419,311.78535809854475,177.533423348729,56.94091102655845,51.896508443233614,61.87397817186072
438,313.36890257763525,179.05053811928997,57.137302599747045,52.167453957014665,62.027216412167284
457,314.8804920887528,180.49829069848283,57.32279237152844,52.45338014812372,62.1466626047176
478,316.49616781986015,182.08196670832626,57.530543880696115,52.74197917688292,62.271539950211064
499,317.995494090635,183.64988949761164,57.75235590139142,53.03756355183248,62.394925131307765
521,319.5016984348558,185.21919610833152,57.97127120627699,53.3676382259828,62.55736372311368
544,321.1029663096301,186.840828916796,58.18720115361092,53.6546973809568,62.6813394030742
568,322.6820956674387,188.4257666262729,58.39362306003723,53.95579731118455,62.80261560537313
594,324.30914963730584,190.1086757425187,58.61958441663718,54.27369982708948,62.95960532370669
620,325.87478756458586,191.7399550516693,58.838536262541616,54.565948521429405,63.10402018132271
648,327.52230188792737,193.47654947290812,59.072786298110636,54.8751043358616,63.26300460575002
676,329.1440135185326,195.1678454291473,59.295578048895095,55.19006519340183,63.44193566344689
706,330.83774557595325,196.93219528347254,59.52531049340655,55.50274755915305,63.61668230152495
738,332.6394984983399,198.79565738199108,59.763094364749115,55.81816398499032,63.75149687466074
771,334.4835215692219,200.63221163834146,59.98268934059291,56.11628581124384,63.919970612222144
805,336.3297307144203,202.4544841717984,60.195238684891585,56.399412711145104,64.0539129527567
840,338.23063839929864,204.26968241084728,60.39360697113915,56.67722079767309,64.18212223716867
878,340.24253760349984,206.1780627418068,60.59737979678352,56.94699259467563,64.31938837421676
917,342.2990367532625,208.0696518660684,60.78592970626735,57.21157184498639,64.42924969287685
957,344.2918653997808,209.90795829621106,60.96802724411528,57.478706659076764,64.54926399134989
1000,346.3195500360748,211.82480528499627,61.164553159915826,57.74847845231067,64.68473320115888
1044,348.28180975048826,213.71653815799095,61.36310659207241,57.996132867366825,64.82007690938467
1091,350.339590020938,215.68902895658448,61.5657022786645,58.262581203958,64.95178301975372
1139,352.43511630794364,217.59675319924827,61.74093985830883,58.485174247040064,65.05943806909869
1190,354.6003756047876,219.54001632471727,61.91195256076124,58.71379998687275,65.15630913172403
1243,356.76873034447453,221.54217438725345,62.096858705454814,58.95868873023291,65.27300489901477
1298,358.9334193797981,223.53278573207444,62.276949891798104,59.19180988059259,65.39032378767408
1355,361.16306600533517,225.5643776191041,62.45499577627687,59.40640038589782,65.50375003490866
1416,363.42695485423246,227.63460058361647,62.635585375036044,59.65450787088944,65.63417704636933
1478,365.6579471254199,229.63288853399808,62.79991733783773,59.88800994806387,65.73401321797483
1544,367.9066342785741,231.71404003488124,62.98175092418431,60.12361593477914,65.83251395610687
1613,370.17795822005337,233.81132397171928,63.16187087312461,60.384613777200215,65.94307922971682
1684,372.44991893828,235.90597168238264,63.33897785636932,60.62108735313837,66.06339250878055
1759,374.6810144816968,238.05229535877083,63.53465645652555,60.87167885103486,66.2103866931711
1837,376.921270642501,240.18720481115952,63.723441344059935,61.1133057001341,66.35571996366498
1919,379.13465038233153,242.36751468380066,63.92650063490359,61.35536100651533,66.51909306437344
